,CONSTITUENCY-WISE DETAILED RESULTS,,,
,NWFP PROVINCE,,,
SL.No.,Constesting candidates,Party Affiliation,Votes Polled,
,,Percentage of Votes Polled to Registered Voters,30.34,%
,,Asghar/Tanveer,,
,NA-38 Tribal Area-III,,,
1,Engineer Toor Gul Chamkani,Independent,7,
2,Engineer Rashid Ahmad Khan Chamkani,Independent,61,
3,Haji Daulat Khan Chamkani,Independent,45,
4,Haji Suhbat Khan Orakzai,Independent,12,
5,Haji Fazli Maula Massozai,Independent,1797,
6,Dr. Abdul Janan,Independent,7,
7,Dr. Gul Manan,Independent,3427,
8,Mr.Zar Bat Khan,Independent,39,
9,Mr.Salah-ud-din,Independent,2064,
10,Mr.Abdul Qadir Khan,Independent,34,
11,Mr.Abdul Wali Khan,Independent,17,
12,Mr.Fakhar Zaman Khan,Independent,68,
13,Mr.Muhammad Nawaz ,Independent,28,
14,Mr.Muhammad Yaqoob,Independent,749,
15,Malik Muhammad Naseer Khan Orakzai,Independent,23,
16,Mr.Munir Khan Orakzai,Independent,6619,
17,Maulana Ainuddin Shakir,Independent,1033,
18,Mr.Naveed Ahmad Khan,Independent,16,
,,Valid Votes,16046,
,,Rejected Votes ,304,
,,Total Votes ,16350,
,,Registered Voters,95484,
,,Percentage of Votes Polled to Registered Voters,17.12,%
,NA-39 Tribal Area-IV,,,
1,Engineer Naveed Yousaf Orakzai,Independent,102,
2,Dr. Sayed Ghazi Gulab Jamal,Independent,11186,
3,Mr.Sohrab Ali ,Independent,6255,
4,Syed Gul Hussain Orakzai Advocate,Independent,1097,
5,Mr.Saifullah Khan Orakzai,Independent,20,
6,Mr.Fida Hussain ,Independent,39,
7,Mr.Muhammad Jan Orakzai,Independent,1471,
8,Mian Hussain Jalali,Independent,8006,
,,Valid Votes,28176,
,,Rejected Votes ,335,
,,Total Votes ,28511,
,,Registered Voters,97620,
,,Percentage of Votes Polled to Registered Voters,29.21,%
,,Asghar/Tanveer,,
,NA-40 Tribal Area-V,,,
1,Mr.Amir Nawaz Khan,Independent,6,
2,Engineer Abdul Qayyum,Independent,2547,
3,Mr.Jahanzeb Khan,Independent,13,
4,Haji Wresham Jan,Independent,87,
5,Mr.Hussain Ahmad Sadiq,Independent,143,
6,Dr. Bashir Ahmad,Independent,467,
7,Dr. Azimullah Khan,Independent,537,
8,Dr. Gul Alam Khan Wazir,Independent,1306,
9,Dr. Madad Khan,Independent,35,
10,Mr.Zar Mali Khan,Independent,322,
11,Mr.Raza-u-Din,Independent,594,
12,Sardar Mohammad Khan,Independent,72,
13,Syed Ghawas Khan,Independent,395,
14,Mr.Abdur Rehman,Independent,15,
15,Mr.Abdul Alim Mohammad (Alim),Independent,17,
16,Mr.Alamgir Khan Wazir,Independent,46,
17,Malik Mohammad Ajmal Khan,Independent,5464,
18,Mr.Mohammad Niaz Khan,Independent,680,
19,Malik Muhammad Afzal Khan Daurhamzoni,Independent,145,
20,Malik Aziz ur Rehman,Independent,11,
21,Molvi Nek Zaman,Independent,14773,
22,Mr. Laiq Zaman,Independent,398,
23,Mr.Nisar Ali Khan,Independent,527,
,,Valid Votes,28600,
,,Rejected Votes ,289,
,,Total Votes ,28889,
,,Registered Voters,96448,
,,Percentage of Votes Polled to Registered Voters,29.95,%
,,Asghar/Tanveer,,
,NA-41 Tribal Area-VI,,,
1,Mr.Atlas Khan,Indepndent,14,
2,Mr.Allah Noor,Indepndent,188,
3,Mr.Aamanullah,Indepndent,3,
4,Mr.Jalal Khan ,Indepndent,136,
5,Mr.Hazrat Khan,Indepndent,2159,
6,Mr.Zubair Khan,Indepndent,10,
7,Sardar Hassan,Indepndent,42,
8,Mr.Said Asghar,Indepndent,971,
9,Mr.Zafarullah Khan,Indepndent,882,
10,Mr.Abdul Malik,Indepndent,8005,
11,Mr.Abdul Manan,Indepndent,13,
12,Mr.Azizul Hassan,Indepndent,2456,
13,Mr.Azizullah,Indepndent,164,
14,Mr.Ghalib Khan,Indepndent,1140,
15,Mr.Ghulam Haider,Indepndent,27,
16,Mr.Faridullah Khan,Indepndent,542,
17,Mr.Feroz Khan,Indepndent,25,
18,Mr.Gul Hassan,Indepndent,1582,
19,Mr.Mohammad Jehangir,Indepndent,10,
20,Mr.Mohammad Rafique,Indepndent,78,
21,Mr.Muhammad Saleh Shah,Indepndent,6904,
22,Mr.Muhammad Usman,Indepndent,5,
23,Mr.Mohammad Farooq,Indepndent,37,
24,Mr.Nisar Ahmad Nisar,Indepndent,158,
25,Mr.Noor Zaman,Indepndent,345,
26,Mr.Niaz Mohammad,Indepndent,292,
,,Valid Votes,26188,
,,Rejected Votes ,844,
,,Total Votes ,27032,
,,Registered Voters,86598,
,,Percentage of Votes Polled to Registered Voters,31.22,%
,NA-42 Tribal Area-VII,,,
1,Mr.Badshah Khan Malkhel,Independent,382,
2,Mr.Badshahi Khan,Independent,1168,
3,General Alam Jan Masood,Independent,5027,
4,Retired Major ® Muhammad Zaman,Independent,1503,
5,Mr.Sami Ullah,Independent,40,
6,Mr.Sher Muhammad,Independent,2332,
